genre,id,name,artist,cluster
rap politico,008BXU3kzngyZKVSjCyxpE,Un Pobre Con Dinero,SFDK,2
boom bap espanol,0Ao7UyZ0IcKH9WQitKd0EL,Mañana Será Otro Día,Canserbero,0
spanish hip hop,1jCBQphSQvBNDsCKYAxtP5,Con la Música a Otra Parte,Sharif,4
rap politico,0PHtFrmcK2kcUVkjb4auvj,Lucifer,SFDK,2
latin viral pop,1B0BQaSRHxhI0AUlItY3LK,MALAMENTE - Cap.1: Augurio,ROSALÍA,1
cumbia pop,0YFoSD5VhoVrRbrnFERpVM,Yo te propongo,Rombai,2
rock uruguayo,1MPWWVtOcbdVQQzv01ajl8,El Whisky de Dios - En Vivo,Zambayonny,2
argentine rock,283NIRno2srDoclKAPmk0F,El Favor,Las Pastillas del Abuelo,2
rock uruguayo,6KDSrToeuM3UGiqEB1qNRN,Tutank’mon,Alan Sutton y las criaturitas de la ansiedad,2
rock uruguayo,5DRQ4gbV0G3ZlCoNStk3CS,Hay Que Comer,El Cuarteto De Nos,2
pop flamenco,15m2Op4d1ZtX0ScPaDNKcd,Vino Tinto,Estopa,2
spanish folk metal,4s1LnLQZDVvAmzudHJs2kA,Goliardos,Lepoka,2
spanish indie pop,298w9ctLcj2YLvA17c6azA,Arte Moderno,IZAL,2
spanish indie pop,4hTXeWayUVMwoz6v1CviSN,Copacabana,IZAL,2
ska espanol,1kasAbWIuasNPe1wNQ29qZ,Muérdeles,La Raíz,2
rock uruguayo,59OZFynwa8dvBXCCGZKxCp,El Cuarteto Tapicero,El Cuarteto De Nos,2
boom bap espanol,6wLQT5JQj4Px9BbRn7Ylau,Los Locos,McKlopedia,0
rock uruguayo,0ohwsEUcp35gxowpLEx0os,Doble identidad,El Cuarteto De Nos,2
celtic metal,19vhfSUgVJO2enJ6XidUGO,Molinos De Viento,Mägo de Oz,2
argentine rock,1J7Shem8gdOSiB5oHOxwNM,Desde la Postura,Las Pastillas del Abuelo,2
celtic metal,0dQPkfweyWDzZ20Auq3F14,La danza del fuego,Mägo de Oz,2
rock uruguayo,76GLflx9QeYC0pjhYyASo7,Tiburones en el Bosque,El Cuarteto De Nos,2
pop flamenco,6VVBXRsXAuN5UvqKNw7j0l,Cacho a Cacho,Estopa,2
rock catala,7bRA9BXy3nNpTOvABDD6EM,Història d'Espanya (Explicada pels Espanyols),Brams,5
venezuelan hip hop,5UB4pyeyR7d4LLJfVN4Kis,Rap Bruto,Residente,4
rap conciencia,6MllW0bsv7ZRUPSUlzNrkR,Me Bajo,ZPU,2
boom bap espanol,2rGAIoUicUqQ1hK0YlRShJ,Llora,Rapsusklei,0
boom bap espanol,0DXPqpQC4HWt2RbcBv7ttW,Diluvio,Rapsusklei,0
boom bap espanol,19TGi5QfX6Xj1GuRvStcQ5,Simbolos,Rapsusklei,0
boom bap espanol,0cAJMbqcT7PZZ2FtlRZD0D,Enero,Rapsusklei,0
boom bap espanol,2THlf4MhAOjn2OpGCmOyUW,A Fuego,Rapsusklei,0
peruvian hip hop,6tR7jCnOKTWzhIMbDdXgSu,No Puedo,Gonzalo Genek,4
peruvian hip hop,3B56Mr3QophjrI2hB9R2qc,Amor Sin Contrato,Gonzalo Genek,4
ska,0DjSa6czo5ywsf6iCtZW5A,Cannabis,Ska-P,2
ska,0p3rxgmQPN5y6QEMzliGZc,Mis Colegas,Ska-P,2
hardcore punk espanol,1B2KqBbo71jf5n3lftM6G2,Inés,Boikot,6
indie extremena,4kJP8Z888wREJ8bRMWNMuk,La vereda de la puerta de atrás,Extremoduro,7
rock uruguayo,0tnUWBM4TDh9YiOh4XWPfF,Vino en Mi Jeringa,El Cuarteto De Nos,2
rock uruguayo,2qOvJOOTDDT4BzuN6gs9uE,Vino en Mi Jeringa,El Cuarteto De Nos,2
indie extremena,6DWAOntbxkpsgKs9iJDEhW,Locura transitoria,Extremoduro,7
musica popular uruguaya,4ejxQjTq8KyjfEHt6NbrYc,Muerto Pero Vivo - En Vivo,Cuatro Pesos de Propina,2
rap conciencia,3KCh9BNkDmh5NIr36w3ERX,Represento,ZPU,2
rap conciencia,3N17UG6Afw3DxXRcAmkOw5,Un Día de Furia,ZPU,2
rap conciencia,6KL2AJqqZhmGeQHBzHq92X,Ángel Guardián,ZPU,2
rap conciencia,3rvpRbeo8H1hwxtuj6REcp,Mamá Me Dijo,ZPU,2
rap conciencia,745kmHSwugfDhult82d47J,Respeta Tus Sueños,Locus,2
rap conciencia,5rGXHIBXrINjQuab5zLLKM,Mi Mejor Amigo,ZPU,2
rap politico,4Z1p2M8ycX5CGzovCXr1QL,Todo Lo Que Importa,SFDK,2
rap galego,381KeLD7eIbeSEzQmxRs7x,Non é verán de Estrella Damm,Ezetaerre,2
electronica argentina,4EtriYD2qsXOHLCtN9K4db,Don,Miranda!,2
chilean indie,4gRu8e9ohJhZx4i1DByb56,Estudiar y Trabajar,Ases Falsos,7
rap politico,0SG4xDNll1vn1JgIXBDvda,Señores en el Brunch,SFDK,2
rap politico,0bd6dXLLP9gU9R7ExxtJPi,Pandora,Mala Praxis,2
folk,3my6Uz9RmXcJB7yEnrth7C,Underground,Tom Waits,2
drift phonk,0eCwAiq4qzQJJgQVaqUaCN,Swaggin' at the Partment,Ghostface Playa,2
ska,6oytv9amMEx3pxSw9UmEtv,El Gato Lopez,Ska-P,2
