Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4LFrQltHBSWQ187o7oWJcS,"13JJKrUewC1CJYmIDXQNoH","Sólo estoy sobreviviendo","Porfiado","El Cuarteto De Nos",2012-04-27,267360,48,spotify:user:jkdl2p4vy07u8n6l77n4vp634,2024-08-18T15:14:44Z,"rock uruguayo",0.63,0.872,2,-3.254,1,0.0296,0.117,0,0.366,0.55,96.035,4
7pJzbW7hZ1yOLUBqRq5ZBt,"13JJKrUewC1CJYmIDXQNoH","Hola Karma","Apocalipsis Zombi","El Cuarteto De Nos",2017-05-12,229546,44,spotify:user:jkdl2p4vy07u8n6l77n4vp634,2024-08-18T15:14:44Z,"rock uruguayo",0.562,0.748,7,-6.861,1,0.0318,0.0111,0.000692,0.233,0.582,96.954,4
0YOwYApHSciCRtZmKTEgEa,"13JJKrUewC1CJYmIDXQNoH","Mirada de Nylon","Apocalipsis Zombi","El Cuarteto De Nos",2017-05-12,211786,43,spotify:user:jkdl2p4vy07u8n6l77n4vp634,2024-08-18T15:14:44Z,"rock uruguayo",0.623,0.804,9,-5.75,0,0.031,0.0144,0,0.0964,0.608,124.041,4
2TEnceAmZQR6bLLo5Fx7q9,"13JJKrUewC1CJYmIDXQNoH","Calma Vladimir","Apocalipsis Zombi","El Cuarteto De Nos",2017-05-12,203440,56,spotify:user:jkdl2p4vy07u8n6l77n4vp634,2024-08-18T15:14:44Z,"rock uruguayo",0.355,0.753,4,-5.851,0,0.245,0.0235,0,0.104,0.386,198.237,3
5H8M2ffRKcdqJTc6YTt4c2,"13JJKrUewC1CJYmIDXQNoH","El Innombrable","Apocalipsis Zombi","El Cuarteto De Nos",2017-05-12,215666,48,spotify:user:jkdl2p4vy07u8n6l77n4vp634,2024-08-18T15:14:44Z,"rock uruguayo",0.575,0.888,9,-4.184,0,0.0907,0.304,0.00000321,0.151,0.613,89.999,4
1Bo2c0WwPmzognDcmLFNMe,"13JJKrUewC1CJYmIDXQNoH","Invisible","Apocalipsis Zombi","El Cuarteto De Nos",2017-05-12,216413,57,spotify:user:jkdl2p4vy07u8n6l77n4vp634,2024-08-18T15:14:44Z,"rock uruguayo",0.366,0.816,9,-5.521,0,0.0498,0.00807,0,0.0555,0.708,203.938,4
6H4x2MIySKNhrXdLkLJvcy,"13JJKrUewC1CJYmIDXQNoH","Fallaste Nostradamus","Jueves","El Cuarteto De Nos",2019-08-16,179386,41,spotify:user:jkdl2p4vy07u8n6l77n4vp634,2024-08-18T15:14:44Z,"rock uruguayo",0.694,0.651,2,-6.961,1,0.0407,0.0203,0.0000406,0.0914,0.599,110.065,4
5wjFUjiT4gKddiTX9urqN2,"13JJKrUewC1CJYmIDXQNoH","Contrapunto para Humano y Computadora","Jueves","El Cuarteto De Nos",2019-08-16,340893,45,spotify:user:jkdl2p4vy07u8n6l77n4vp634,2024-08-18T15:14:44Z,"rock uruguayo",0.609,0.867,2,-7.031,1,0.25,0.0186,0.00000156,0.344,0.35,114.364,4
43HJPKlwZ5jRrMnMfLcQ2T,"3Znu3IpegNZzamLA9vRsE0","El Perro Freddy","Esto No Es un Disco Vol.1","El Niño de la Hipoteca",2019-05-24,233159,23,spotify:user:jkdl2p4vy07u8n6l77n4vp634,2024-08-18T15:14:44Z,"cantautor,spanish rock",0.741,0.902,2,-4.402,0,0.0488,0.469,0,0.0686,0.934,131.061,4
0VQW5MJ1BP3FntQ9IzFBNM,"0V9gYA1mM1zlUk1HKMyb5t","Actitud","Maldito","Gritando en Silencio",2011,233040,29,spotify:user:jkdl2p4vy07u8n6l77n4vp634,2024-08-18T15:14:44Z,"punk urbano,spanish punk",0.348,0.902,11,-5.887,1,0.0933,0.126,0,0.424,0.662,95.945,4
