id,name,artist,genre,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,key,mode
7dU9Z24yR9AKuS9cAe2Tj7,Subjected to a Beating,Dying Fetus,brutal death metal,0.231,0.983,-5.199,0.0977,0.000254,0.059,0.506,0.336,161.044,4,8,1
0YUSVg7dncF1TzZ3IFf6Zh,Disfigured,Rag'n'Bone Man,neo soul,0.457,0.474,-5.38,0.0315,0.612,0.0,0.113,0.39,71.987,4,2,0
1v1oIWf2Xgh54kIWuKsDf6,Runaway,AURORA,art pop,0.422,0.302,-9.214,0.0372,0.629,7.83e-05,0.104,0.123,114.089,4,11,1
7HgG6kaNPUltGHFP6aIS4L,Tu Vuo Fà L'Americano,Renato Carosone,canzone napoletana,0.623,0.284,-10.81,0.35,0.738,0.0,0.0812,0.905,181.273,4,10,0
2kLWSmKHhfUBepkIA9oNe5,Abyss - from Kaiju No. 8,YUNGBLUD,british indie rock,0.576,0.808,-4.241,0.0407,0.00615,0.0,0.127,0.172,115.063,4,1,1
03jdl5GTBhKsgB1Yw8mVPh,In Between,Beartooth,melodic metalcore,0.462,0.972,-2.642,0.138,0.00285,0.0,0.666,0.449,128.092,4,7,0
7ueP5u2qkdZbIPN2YA6LR0,Sail,AWOLNATION,la indie,0.826,0.436,-9.583,0.0558,0.441,0.615,0.0964,0.272,119.051,4,1,1
2XXP73OwM2WvZ2vcXAIDz3,El Lado Oscuro del Corazon,Costa,rap underground espanol,0.669,0.749,-4.404,0.307,0.0981,0.0,0.182,0.666,160.066,4,5,0
1W0OCrMsRP1SLTEdw3JwEz,"Sweet Dreams, TN",The Last Shadow Puppets,baroque pop,0.282,0.566,-6.924,0.0291,0.000878,0.0,0.38,0.477,112.362,3,11,0
1T0kkgPuLxpEnIXV1NXGFf,Esta To Guapo,Rapsusklei,boom bap espanol,0.874,0.86,-4.407,0.298,0.0843,0.0,0.142,0.879,114.988,4,7,1
5AIwfXYjGkWCs4KeeTk2Rq,Cantando,Violadores Del Verso,boom bap espanol,0.826,0.765,-6.077,0.435,0.132,0.0,0.0555,0.849,90.628,4,0,1
4OWa2dOlmtvMDhFrFL0QA1,"La leçon particulière - Bande originale du film ""La leçon particulière""",Francis Lai,classic soundtrack,0.185,0.469,-7.729,0.0314,0.00652,0.909,0.201,0.422,150.319,3,2,0
1Sz402s2SN6nPicOA8DPah,Saka Saka Saka,MC Mazzie,funk mtg,0.805,0.743,-7.244,0.0735,0.177,0.00155,0.149,0.612,130.143,4,0,1
7EZvohNWHJ6W3sDOEeBsoU,Tu postura,Once Tiros,argentine rock,0.587,0.883,-5.297,0.0346,0.0511,5.56e-05,0.29,0.857,108.957,4,5,1
6Wv1yv5O9ZfzCdwEhuk31r,En Compostela,Dakidarria,galician rock,0.55,0.909,-6.429,0.094,0.0047,0.00286,0.565,0.353,175.042,4,10,0
3MbNnqa8NahIrBdKRW2sX6,Por Amar al Arte,La Regadera,ska espanol,0.459,0.948,-5.9,0.14,0.0424,0.000107,0.0966,0.656,178.05,4,0,1
6lSypaQOcC6JtzfwpINLGW,El hijo de Hernández,El Cuarteto De Nos,rock uruguayo,0.73,0.866,-2.693,0.0263,0.0151,0.0,0.249,0.824,113.004,4,7,0
7yCF65vpc7sUwPjftI0iFb,Happy Nation,Ace of Base,eurodance,0.668,0.864,-5.129,0.0367,0.00121,0.0043,0.0785,0.672,96.049,4,1,1
4BxzNZpcm1j3JczZzGNe2k,Bandoleros,Don Omar,latin hip hop,0.662,0.896,-5.311,0.251,0.318,0.0,0.186,0.79,90.622,4,5,0
5fdNHVZHbWB1AaXk4RBGVD,Just the Two of Us,"Grover Washington, Jr.",soul jazz,0.743,0.429,-14.576,0.0902,0.447,0.362,0.0455,0.597,95.406,4,10,0
6FfLg6FFqhCsrFOaHIGkg0,Honeypie,JAWNY,bedroom pop,0.74,0.688,-4.361,0.0916,0.061,0.0,0.138,0.935,115.035,4,5,0
2flxduIqEbsicdmPyj1WVW,Imagination,Foster The People,indietronica,0.744,0.642,-4.6,0.031,0.115,3.95e-05,0.279,0.63,94.988,4,2,0
1hiZqVgSKeVPJAjUKgJZMm,Aguanile,Héctor Lavoe,salsa,0.516,0.732,-5.737,0.0478,0.253,4.38e-05,0.241,0.909,127.341,4,0,0
05ascW5kZSLsGM7sdr9Eot,Lodo,Xoel López,cantautor,0.623,0.537,-9.929,0.0371,0.67,0.323,0.274,0.673,110.982,4,4,1
0pyT9W877RcYtVdl1ZmlvQ,Valiente,Vetusta Morla,cantautor,0.554,0.9,-3.654,0.0366,0.00382,8.26e-06,0.133,0.569,140.023,4,4,0
4bZEZhCq2kqUxnMacXVl5x,Copenhague,Vetusta Morla,cantautor,0.559,0.742,-3.945,0.0243,0.411,0.0107,0.133,0.482,92.959,4,9,1
1ozbWlTQASs311dSO5R6vp,Lucha De Gigantes,Love of Lesbian,cantautor,0.729,0.482,-6.5,0.0301,0.339,4.38e-05,0.159,0.361,108.133,4,4,0
0kc4G5tEdtmTB0w3gYmb01,Desencuentro (feat. Soko),Residente,venezuelan hip hop,0.379,0.775,-6.297,0.0798,0.0854,0.00446,0.133,0.361,159.83,3,0,1
569wwTXGm6Ujk1HeJjH6fj,Girasoles,Rozalén,cantautor,0.746,0.732,-5.543,0.182,0.359,2.26e-06,0.0904,0.945,90.03,4,1,1
0n2lJjskWdFCvLI3ExAGha,Vivir (with Estopa),Rozalén,cantautor,0.715,0.906,-5.478,0.28,0.353,0.0,0.112,0.777,101.088,4,8,1
6K4t31amVTZDgR3sKmwUJJ,The Less I Know The Better,Tame Impala,australian psych,0.64,0.74,-4.083,0.0284,0.0115,0.00678,0.167,0.785,116.879,4,4,1
3TO7bbrUKrOSPGRTB5MeCz,Time,Pink Floyd,album rock,0.359,0.48,-11.79,0.0841,0.521,0.0043,0.178,0.355,120.285,4,9,1
2U3rA2iYYrTFEeQg4u9S4b,Poema de los Dones,Jorge Luis Borges,,0.683,0.0422,-17.936,0.592,0.443,0.0,0.172,0.287,100.886,4,1,1
